"gene"	"count"
"795"	"ENSG00000130255"	0
"796"	"ENSG00000126231"	0
"797"	"ENSG00000112578"	0
"798"	"ENSG00000175482"	0
"799"	"ENSG00000100345"	1
"800"	"ENSG00000092531"	0
"801"	"ENSG00000004779"	0
"802"	"ENSG00000109756"	1
"803"	"ENSG00000105856"	0
"804"	"ENSG00000063015"	0
"805"	"ENSG00000198890"	0
"806"	"ENSG00000170962"	0
"807"	"ENSG00000069431"	1
"808"	"ENSG00000121022"	0
"809"	"ENSG00000120875"	1
"810"	"ENSG00000134697"	0
"811"	"ENSG00000167110"	0
"812"	"ENSG00000154310"	1
"813"	"ENSG00000178127"	0
"814"	"ENSG00000178556"	0
"815"	"ENSG00000119321"	0
"816"	"ENSG00000135870"	0
"817"	"ENSG00000165646"	0
"818"	"ENSG00000164707"	0
"819"	"ENSG00000167721"	0
"820"	"ENSG00000204227"	0
